position,title,artist,year,month,day
1,EVERYBODY GONFI-GON,TWO COWBOYS,1994,7,3
2,SOMEDAY,EDDY,1994,7,3
3,ROK DA HOUSE,TALL PAUL,1994,7,3
4,CAUGHT IN THE MIDDLE,JULIET ROBERTS,1994,7,3
5,SHARE MY LIFE,INNER CITY,1994,7,3
6,IN YOUR DANCE,E-LUSTRIOUS,1994,7,3
7,STRONGER TOGETHER,ROCKMELONS,1994,7,3
8,MAKE MY LOVE,SHAWN CHRISTOPHER,1994,7,3
9,GO ON MOVE,REEL 2 REAL FEAT MAD STUNTMAN,1994,7,3
10,HEY DJ,LIGHTER SHADE OF BROWN,1994,7,3
11,ECHO DROP,TAIKO,1994,7,3
12,AIN'T NOBODY (LOVES ME BETTER),KWS AND GWEN DICKEY,1994,7,3
13,SWAMP THING,GRID,1994,7,3
14,TRIPPIN ON SUNSHINE,PIZZAMAN,1994,7,3
15,EVERYBODY'S GOT TO LEARN SOMETIME,YAZZ,1994,7,3
16,CELEBRATION GENERATION,WESTBAM,1994,7,3
17,FEEL WHAT YOU WANT,KRISTINE W,1994,7,3
18,BODY IN MOTION,ATLANTIC OCEAN,1994,7,3
19,BACK AND FORTH,AALIYAH,1994,7,3
20,SOUL FLY FREE,DARLENE LEWIS,1994,7,3
21,GET IT TOGETHER/SABOTAGE,BEASTIE BOYS,1994,7,3
22,BACK IN THE DAY,AHMAD,1994,7,3
23,GHETTO DAY/WHAT I NEED,CRYSTAL WATERS,1994,7,3
24,DO YOU WANT IT RIGHT NOW,DEGREES OF MOTION,1994,7,3
25,HAD ENOUGH EP,SOUND ENVIRONMENT,1994,7,3
26,COLOUR CODE,GUNSHOT,1994,7,3
27,CRAYZY MAN,BLAST FEATURING V.D.C.,1994,7,3
28,TWO CAN PLAY THAT GAME,BOBBY BROWN,1994,7,3
29,SHINE,ASWAD,1994,7,3
30,MOVE YOUR BODY,ANTICAPPELLA FEAT MC FIXX IT,1994,7,3
31,"YOU DON'T LOVE ME (NO, NO, NO)",DAWN PENN,1994,7,3
32,LEMON PROJECT,PEPPERMINT LOUNGE,1994,7,3
33,"ANY TIME, ANY PLACE",JANET JACKSON,1994,7,3
34,DARK & LONG,UNDERWORLD,1994,7,3
35,FLOW ON,LORDS OF THE UNDERGROUND,1994,7,3
36,SOMEBODY/YA BUZZIN AGAIN,FLEX 'N' FATS,1994,7,3
37,TREATMENT FEEL,MINIMAL MAN,1994,7,3
38,CALL ME,MESHELL NDEGEOCELLO,1994,7,3
39,ANYTIME YOU NEED A FRIEND,MARIAH CAREY,1994,7,3
40,AUTOMATIC LOVE,KEY MOTION,1994,7,3
1,FEENIN',JODECI,1994,7,10
2,TURN IT UP,DJ DUKE,1994,7,10
3,TERRORIST/SOMETHING I FEEL,RENEGADE FEATURING RAY KEITH,1994,7,10
4,EVERYBODY GONFI-GON,TWO COWBOYS,1994,7,10
5,ROK DA HOUSE,TALL PAUL,1994,7,10
6,90'S GIRL,BLACKGIRL,1994,7,10
7,SMELLS LIKE TEEN SPIRIT,ABIGAIL,1994,7,10
8,CAUGHT IN THE MIDDLE,JULIET ROBERTS,1994,7,10
9,ECHO DROP,TAIKO,1994,7,10
10,SOMEDAY,EDDY,1994,7,10
11,AIN'T NOBODY,JAKI GRAHAM,1994,7,10
12,MUSIC IS SO WONDERFUL,VIVIAN LEE,1994,7,10
13,LIVING FOR THE MOMENT,MERCEDES,1994,7,10
14,HEY DJ,LIGHTER SHADE OF BROWN,1994,7,10
15,TRIPPIN ON SUNSHINE,PIZZAMAN,1994,7,10
16,BACK AND FORTH,AALIYAH,1994,7,10
17,SWAMP THING,GRID,1994,7,10
18,ON POINT,HOUSE OF PAIN,1994,7,10
19,WHY DO FOOLS FALL IN LOVE/I'M COMING OUT,DIANA ROSS,1994,7,10
20,GO ON MOVE,REEL 2 REAL FEAT MAD STUNTMAN,1994,7,10
21,TAKE MY LOVE,BOOMSHANKA,1994,7,10
22,THE AWAKENING/CALAMITY JANE,MRS WOOD,1994,7,10
23,CELEBRATION GENERATION,WESTBAM,1994,7,10
24,AIN'T NOBODY (LOVES ME BETTER),KWS AND GWEN DICKEY,1994,7,10
25,FEEL WHAT YOU WANT,KRISTINE W,1994,7,10
26,BODY IN MOTION,ATLANTIC OCEAN,1994,7,10
27,SHARE MY LIFE,INNER CITY,1994,7,10
28,MAKE MY LOVE,SHAWN CHRISTOPHER,1994,7,10
29,RUNNING UP THAT HILL,ELASTIC BAND,1994,7,10
30,IN YOUR DANCE,E-LUSTRIOUS,1994,7,10
31,BACK IN THE DAY,AHMAD,1994,7,10
32,DHARMA MEANS TRUTH,DHARMA BUMS,1994,7,10
33,EVERYBODY'S GOT TO LEARN SOMETIME,YAZZ,1994,7,10
34,SET ME FREE,COCO STEEL & LOVEBOMB,1994,7,10
35,CRAYZY MAN,BLAST FEATURING V.D.C.,1994,7,10
36,HAD ENOUGH EP,SOUND ENVIRONMENT,1994,7,10
37,THE PANDEMONIUM SINGLE,KILLING JOKE,1994,7,10
38,VIVA DUBS,LEFTHAND DOWN,1994,7,10
39,FEEL THE GOOD TIMES,CHARLENE SMITH,1994,7,10
40,GET IT TOGETHER/SABOTAGE,BEASTIE BOYS,1994,7,10
1,U GIRLS,NUSH,1994,7,17
2,REGULATE,WARREN G & NATE DOGG,1994,7,17
3,MORE TO LOVE,VOLCANO,1994,7,17
4,NITE LIFE,KIM ENGLISH,1994,7,17
5,CASANOVA,BABY D,1994,7,17
6,LIVING IN THE SUNSHINE,CLUBHOUSE FEATURING CARL,1994,7,17
7,FEENIN',JODECI,1994,7,17
8,EVERYBODY GONFI-GON,TWO COWBOYS,1994,7,17
9,DEF IN THE FAMILY,HYPER ON EXPERIENCE,1994,7,17
10,TURN IT UP,DJ DUKE,1994,7,17
11,ROK DA HOUSE,TALL PAUL,1994,7,17
12,SMELLS LIKE TEEN SPIRIT,ABIGAIL,1994,7,17
13,FANTASTIC VOYAGE,COOLIO,1994,7,17
14,90'S GIRL,BLACKGIRL,1994,7,17
15,ECHO DROP,TAIKO,1994,7,17
16,SWAMP THING,GRID,1994,7,17
17,ON POINT,HOUSE OF PAIN,1994,7,17
18,THE CALIBER EP,JOEY BELTRAM,1994,7,17
19,TERRORIST/SOMETHING I FEEL,RENEGADE FEATURING RAY KEITH,1994,7,17
20,HORSEWORK,VINYL BLAIR,1994,7,17
21,SECOND CHANCE,PHILLIP LEO,1994,7,17
22,OUTSIDE,OMAR,1994,7,17
23,ALWAYS,MIDI RAIN,1994,7,17
24,AIN'T NOBODY (LOVES ME BETTER),KWS AND GWEN DICKEY,1994,7,17
25,AIN'T NOBODY,JAKI GRAHAM,1994,7,17
26,THE AWAKENING/CALAMITY JANE,MRS WOOD,1994,7,17
27,WHY DO FOOLS FALL IN LOVE/I'M COMING OUT,DIANA ROSS,1994,7,17
28,SYCHOPHANTASY,REJUVINATION,1994,7,17
29,TRIPPIN ON SUNSHINE,PIZZAMAN,1994,7,17
30,CAUGHT IN THE MIDDLE,JULIET ROBERTS,1994,7,17
31,BACK AND FORTH,AALIYAH,1994,7,17
32,SOMEDAY,EDDY,1994,7,17
33,GO ON MOVE,REEL 2 REAL FEAT MAD STUNTMAN,1994,7,17
34,"YOU DON'T LOVE ME (NO, NO, NO)",DAWN PENN,1994,7,17
35,TAKE MY LOVE,BOOMSHANKA,1994,7,17
36,JACKED,LEX LOOFAH,1994,7,17
37,THOUGHTS OF A TRANCED LOVE,WINC,1994,7,17
38,DARK & LONG,UNDERWORLD,1994,7,17
39,CELEBRATION GENERATION,WESTBAM,1994,7,17
40,CRAYZY MAN,BLAST FEATURING V.D.C.,1994,7,17
1,ROCK 2 HOUSE/HIP HOUSIN',X-PRESS 2 FEATURING LO-PRO,1994,7,24
2,HELP MY FRIEND,SLO-MOSHUN,1994,7,24
3,REACHIN,HOUSE OF VIRGINISM,1994,7,24
4,REGULATE,WARREN G & NATE DOGG,1994,7,24
5,MORE TO LOVE,VOLCANO,1994,7,24
6,U GIRLS,NUSH,1994,7,24
7,NITE LIFE,KIM ENGLISH,1994,7,24
8,LIVING IN THE SUNSHINE,CLUBHOUSE FEATURING CARL,1994,7,24
9,CASANOVA,BABY D,1994,7,24
10,PICNIC IN THE SUMMERTIME,DEEE-LITE,1994,7,24
11,ECHO DROP,TAIKO,1994,7,24
12,2-ON-1 VOLUME 6,DEEP BLUE/DJ PULSE & A. REECE,1994,7,24
13,TRIPPIN ON SUNSHINE,PIZZAMAN,1994,7,24
14,ROK DA HOUSE,TALL PAUL,1994,7,24
15,SWAMP THING,GRID,1994,7,24
16,EVERYBODY GONFI-GON,TWO COWBOYS,1994,7,24
17,HORSEWORK,VINYL BLAIR,1994,7,24
18,FEENIN',JODECI,1994,7,24
19,EXPANDER,FUTURE SOUND OF LONDON,1994,7,24
20,GO ON MOVE,REEL 2 REAL FEAT MAD STUNTMAN,1994,7,24
21,TURN IT UP,DJ DUKE,1994,7,24
22,DRUMS ARE DANGEROUS,DRUM CLUB,1994,7,24
23,SMELLS LIKE TEEN SPIRIT,ABIGAIL,1994,7,24
24,FANTASTIC VOYAGE,COOLIO,1994,7,24
25,TERRORIST/SOMETHING I FEEL,RENEGADE FEATURING RAY KEITH,1994,7,24
26,TWYFORD DOWN,GALLIANO,1994,7,24
27,CAUGHT IN THE MIDDLE,JULIET ROBERTS,1994,7,24
28,THE AWAKENING/CALAMITY JANE,MRS WOOD,1994,7,24
29,I WANT YOU BOY,DISSCODE,1994,7,24
30,CRAYZY MAN,BLAST FEATURING V.D.C.,1994,7,24
31,SPANISH LULLABY,BLUE,1994,7,24
32,90'S GIRL,BLACKGIRL,1994,7,24
33,DON'T GIVE IT UP,SONIC SURFERS,1994,7,24
34,THE CALIBER EP,JOEY BELTRAM,1994,7,24
35,ON POINT,HOUSE OF PAIN,1994,7,24
36,SOMEDAY,EDDY,1994,7,24
37,OH MY GOODNESS ANUTHA DOPE JAM,OPAZ FEATURING RAY HAYDEN,1994,7,24
38,OUTSIDE,OMAR,1994,7,24
39,INNER CITY BLUES,ANGELA WINBUSH,1994,7,24
40,SURVIVORS,EAT STATIC,1994,7,24
1,GIRLS + BOYS,HED BOYS,1994,7,31
2,HOT,IDEAL,1994,7,31
3,GIVE ME LIFE,MR. V,1994,7,31
4,ROCK 2 HOUSE/HIP HOUSIN',X-PRESS 2 FEATURING LO-PRO,1994,7,31
5,HIT BY LOVE,CE CE PENISTON,1994,7,31
6,THINK ABOUT THE WAY (BOM DIGI DIGI.. ),ICE MC,1994,7,31
7,HELP MY FRIEND,SLO-MOSHUN,1994,7,31
8,HIP HOP,BALOUGA BOYS,1994,7,31
9,U GIRLS,NUSH,1994,7,31
10,REGULATE,WARREN G & NATE DOGG,1994,7,31
11,ONE WORLD,GROOVE BOX FEAT EVELYN THOMAS,1994,7,31
12,REACHIN,HOUSE OF VIRGINISM,1994,7,31
13,SUMMERTIME,DJ JAZZY JEFF AND FRESH PRINCE,1994,7,31
14,NITE LIFE,KIM ENGLISH,1994,7,31
15,IF YOU WANT,LUCIANA,1994,7,31
16,IN THE MIX,ROMANTHONY,1994,7,31
17,DON'T LIE,SINCLAIR,1994,7,31
18,SWAMP THING,GRID,1994,7,31
19,I LIFT MY CUP,GLOWORM,1994,7,31
20,ROK DA HOUSE,TALL PAUL,1994,7,31
21,EVERYBODY GONFI-GON,TWO COWBOYS,1994,7,31
