acousticness,artist,danceability,day,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,month,position,speechiness,tempo,time_signature,title,valence,year
0.202,madonna,0.773,5.0,218627.0,0.656,0.00323,3.0,0.0697,-10.88,0.0,1.0,1.0,0.0381,119.754,4.0,like a virgin,0.971,1985.0
0.144,thelma houston,0.746,5.0,333333.0,0.702,0.000326,11.0,0.103,-12.964,0.0,1.0,9.0,0.0546,111.603,4.0,you used to hold me so tight,0.868,1985.0
0.0167,fun fun,0.685,5.0,246107.0,0.655,0.363,5.0,0.07,-11.046,1.0,1.0,10.0,0.0499,122.003,4.0,color my love,0.816,1985.0
0.000832,dan hartman,0.661,19.0,257733.0,0.898,2.93e-06,1.0,0.0686,-6.234,1.0,1.0,1.0,0.0419,115.046,4.0,we are the young,0.627,1985.0
0.317,deodato,0.827,19.0,378307.0,0.738,0.0869,8.0,0.217,-12.806,1.0,1.0,6.0,0.0592,124.023,4.0,"s.o.s., fire in the sky",0.443,1985.0
0.0105,the limit,0.667,26.0,264653.0,0.753,0.0,5.0,0.337,-9.196,1.0,1.0,7.0,0.0543,123.463,4.0,say yeah,0.785,1985.0
0.108,jellybean,0.829,2.0,241627.0,0.808,2.58e-06,10.0,0.405,-10.874,1.0,2.0,1.0,0.0455,115.347,4.0,sidewalk talk,0.945,1985.0
0.112,sade,0.84,2.0,269240.0,0.713,4.29e-06,7.0,0.0783,-6.593,1.0,2.0,5.0,0.0296,107.897,4.0,hang on to your love,0.965,1985.0
0.0915,billy ocean,0.734,9.0,249360.0,0.709,2.36e-05,6.0,0.0635,-9.164,0.0,2.0,1.0,0.0388,107.901,4.0,loverboy,0.713,1985.0
0.288,bronski beat,0.685,16.0,302413.0,0.584,0.00918,5.0,0.124,-10.616,0.0,2.0,1.0,0.0276,134.546,4.0,smalltown boy,0.939,1985.0
0.0242,the pointer sisters,0.751,16.0,253147.0,0.762,0.0,9.0,0.552,-9.238,1.0,2.0,4.0,0.05,104.801,4.0,neutron dance,0.87,1985.0
0.0186,klymaxx,0.75,16.0,246230.0,0.685,0.0211,0.0,0.0414,-8.976,1.0,2.0,9.0,0.0415,120.202,4.0,the men all pause,0.832,1985.0
0.0746,sheena easton,0.744,23.0,241600.0,0.55,4.2e-05,10.0,0.0353,-12.689,1.0,2.0,1.0,0.0554,126.51,4.0,sugar walls,0.853,1985.0
0.0932,stevie wonder,0.768,23.0,414160.0,0.734,1.45e-05,1.0,0.134,-12.674,1.0,2.0,6.0,0.0539,108.786,4.0,love light in flight,0.939,1985.0
0.0129,chaka khan,0.73,2.0,280867.0,0.873,0.0179,4.0,0.0472,-12.086,0.0,3.0,1.0,0.0706,108.886,4.0,this is my night,0.698,1985.0
0.187,murray head,0.957,9.0,193440.0,0.457,0.0016,2.0,0.0636,-9.115,0.0,3.0,5.0,0.112,108.816,4.0,one night in bangkok,0.801,1985.0
0.0222,robey,0.868,9.0,222633.0,0.306,0.0,2.0,0.0415,-23.742,1.0,3.0,9.0,0.054,109.669,4.0,one night in bangkok,0.873,1985.0
0.274,jenny burton,0.746,23.0,328960.0,0.598,0.000232,0.0,0.0894,-13.46,1.0,3.0,1.0,0.148,103.531,4.0,bad habits,0.792,1985.0
