position,title,artist,year,month,day
1,you should be dancing,bee gees,1976,8,28
4,heaven must be missing an angel (part 1),tavares,1976,8,28
6,you'll never find another love like mine,lou rawls,1976,8,28
8,everyman (has to carry his own weight),double exposure,1976,8,28
9,part 3 (all cuts),k.c. & the sunshine band,1976,8,28
8,young hearts run free / run to me / destiny,candi staton,1976,9,4
4,let's make a deal/i've got you under my skin/be mine,gloria gaynor,1976,9,11
2,the best disco in town,the ritchie family,1976,9,18
4,i don't wanna lose your love,the emotions,1976,9,18
1,cherchez la femme / sour and sweet / i'll play the fool,dr. buzzard's original savannah band,1976,10,2
5,you + me = love,the undisputed truth,1976,10,2
1,my sweet summer suite / brazilian love song,love unlimited orchestra,1976,10,9
9,full time thing (between dusk and dawn),whirlwind,1976,10,16
1,midnight love affair / crime don't pay,carol douglas,1976,10,23
7,calypso breakdown / where is the love / jam on the groove,ralph macdonald,1976,10,23
10,let's get it together / fait le chat (do the cat),el coco,1976,10,23
1,down to love town,the originals,1976,10,30
3,nice 'n' naasty / salsoul 3001 / don't beat around the bush,the salsoul orchestra,1976,10,30
9,daylight / should i stay / how about me / i won't let you go,vicki sue robinson,1976,11,20
3,car wash,rose royce,1976,11,27
4,makes you blind,glitter band,1976,11,27
1,four seasons of love (all cuts),donna summer,1976,12,11
2,another star / i wish / sir duke / isn't she lovely,stevie wonder,1976,12,11
5,welcome to our world (of merry music),mass production,1976,12,18
1,don't leave me this way / any way you like it,thelma houston,1977,1,1
5,you're my driving wheel / let yourself go / love i never knew,the supremes,1977,1,8
7,sorry/that's the trouble,grace jones,1977,1,8
5,"magic's in the air/boy, i really tied one on",esther phillips,1977,1,15
6,dancin' / searching for love / far out,crown heights affair,1977,1,15
7,dazz,brick,1977,1,15
2,tea dance (all cuts),d.c. larue,1977,1,22
4,spring rain,silvetti,1977,2,5
7,disco lucy (i love lucy theme),wilton place street band,1977,2,5
10,funk de mambo (dance to the music),karma,1977,2,5
4,love in motion / givin' back the feeling,george mccrae,1977,2,12
7,theme from king kong,love unlimited orchestra,1977,2,12
1,disco inferno / starvin' / body contact contract,the trammps,1977,2,19
3,dreamin / ripped off,loleatta holloway,1977,2,19
4,love in 'c' minor,the heart and soul orchestra,1977,2,19
8,life is music / lady luck / disco blues,the ritchie family,1977,2,19
6,call me your six million dollar man / hurry up & wait / been decided,the originals,1977,2,26
10,tattoo man,denise mccann,1977,2,26
2,love in c minor / midnight lady,cerrone,1977,3,26
4,"n.y., you got me dancing",andrea true connection,1977,4,9
5,up jumped the devil,john davis and the monster orchestra,1977,4,9
2,uptown festival,shalamar,1977,4,16
4,twenty-four hours a day,barbara,1977,4,16
1,do what you wanna do,t-connection,1977,4,23
2,slow down,john miles,1977,4,30
3,i caught your act,the hues corporation,1977,5,7
1,i need a man,grace jones,1977,5,14
2,i gotta keep dancin',carrie,1977,5,14
3,superman / one love,celi bee & the buzzy bunch,1977,5,14
7,"you can't hide from yourself / i don't love you anymore / the more i get, t",teddy pendergrass,1977,5,14
1,got to give it up (pt. i),marvin gaye,1977,5,21
6,discomania,the lovers,1977,5,28
2,could heaven ever be like this (part 1),idris muhammad,1977,6,4
9,do ya wanna get funky with me,peter brown,1977,6,4
1,devil's gun/we got our own thing/sure can't go to,c.j. & company,1977,6,11
3,magic bird of fire / getaway / run away,the salsoul orchestra,1977,6,18
6,sweet dynamite,claudja barry,1977,6,18
6,cerrone's paradise/take me,cerrone,1977,7,2
7,get on the funk train,munich machine,1977,7,2
1,i remember yesterday (all cuts),donna summer,1977,7,9
5,the way you do the things you do,foxy,1977,7,9
9,nowhere to run pt. 1,the dynamic superiors,1977,7,9
6,the magic is you,john davis and the monster orchestra,1977,7,16
8,doctor love,first choice,1977,7,16
1,accidental lover / i found love (now that i found you),love and kisses,1977,8,6
5,"carry on, turn me on/tango in space",spaces,1977,8,6
3,"i feel love (theme from ""the deep"")",donna summer,1977,8,13
9,magic fly,kebekelektrik,1977,8,20
1,quiet village/african queens/summer dance,the ritchie family,1977,8,27
2,hold tight,vicki sue robinson,1977,8,27
6,star wars theme/cantina band,meco,1977,9,3
10,choosing you/shoo doo fu fu ooh,lenny williams,1977,9,3
1,village people (all cuts),village people,1977,9,24
2,from here to eternity / too hot to handle / first hand experience in second,giorgio,1977,9,24
5,je taime/violation/on a rien perore,saint tropez,1977,9,24
6,cocomotion/i'm mad as hell/love to the world / got that feeling,el coco,1977,10,1
7,music,montreal sound,1977,10,1
4,don't let me be misunderstood,santa esmeralda,1977,10,8
5,it's ecstasy when you lay down next to me,barry white,1977,10,8
2,cosmic wind/thebull/belly boogie,mike theodore orchestra,1977,10,15
2,girl don't make me wait/ love shock,pattie brooks,1977,10,29
10,what i did for love/tomorrow/la vie en rose,grace jones,1977,10,29
7,i can't turn you loose / block party,anthony white,1977,11,5
1,"dance, dance, dance (yowsah, yowsah, yowsah)",chic,1977,11,19
3,native new yorker,odyssey,1977,11,19
2,i got to have your love / there's fire down below / disco pool blues,fantastic four,1977,11,26
9,l.a. bound (all cuts),king errison,1977,11,26
5,le spank,le pamplemousse,1977,12,3
3,can't you feel it/magic love/hold me squeeze me/di,michele,1977,12,10
5,on fire,t-connection,1977,12,10
6,moon boots,o.r.s.,1977,12,10
9,"what's your name,what's your number",andrea true connection,1977,12,24
6,the night the lights went out,the trammps,1977,12,31
1,once upon a time (all cuts),donna summer,1978,1,7
