position,title,artist,year,month,day
1,celebration,madonna,2009,10,4
2,ready for the weekend,calvin harris,2009,10,4
3,holiday,dizzee rascal,2009,10,4
5,against all odds,chase & status ft kano,2009,10,4
8,one more chance,bloc party,2009,10,4
11,out of space,prodigy,2009,10,4
12,charly,prodigy,2009,10,4
13,tear you down/drifter,brookes brothers,2009,10,4
19,no good (start the dance),prodigy,2009,10,4
22,smack my bitch up,prodigy,2009,10,4
23,jazz,deep fm,2009,10,4
26,moment of my life,inner life,2009,10,4
27,let the music use you,nightwriters,2009,10,4
28,gladiator (the sequel),rennie pilgrem,2009,10,4
29,owner of a lonely heart,max graham vs yes,2009,10,4
31,front to back,playgroup ft kc flightt,2009,10,4
34,mymymy,armand van helden,2009,10,4
35,get another love,kathy brown,2009,10,4
38,da bump,mr v ft miss patty,2009,10,4
39,that boy that girl,hadouken,2009,10,4
40,destination calabria,alex gaudino ft crystal waters,2009,10,4
2,when love takes over,david guetta ft kelly rowland,2009,10,11
3,watch the sun come up,example,2009,10,11
5,heartbreak (make me a dancer),freemasons/sophie ellis-bextor,2009,10,11
9,return of forever,high contrast,2009,10,11
10,silence,delerium ft sarah mclachlan,2009,10,11
12,hypercaine,dj fresh ft stamina mc & koko,2009,10,11
14,one love,prodigy,2009,10,11
15,everybody in the place,prodigy,2009,10,11
18,soldier/massive,capone,2009,10,11
21,turbulence,moving fusion,2009,10,11
22,basement track,high contrast,2009,10,11
23,creepshow/weighed down,plump djs,2009,10,11
25,most precious love,blaze ft barbara tucker,2009,10,11
28,the fly,syclops,2009,10,11
29,make the world go round,sandy b,2009,10,11
30,airplane/flamenco,sub focus,2009,10,11
31,music loud,tocadisco,2009,10,11
32,special place/druggy,sub focus,2009,10,11
33,dumpling riddim/disco,chase & status,2009,10,11
34,blood sugar/axle grinder,pendulum,2009,10,11
35,merrymaking at my place,calvin harris,2009,10,11
37,hurt you/sell me your soul,chase & status,2009,10,11
38,night,benga & coki,2009,10,11
39,dvno,justice,2009,10,11
2,ghosts 'n' stuff,deadmau5 ft rob swire,2009,10,18
10,voodoo people,prodigy,2009,10,18
11,infinity 2008,guru josh project,2009,10,18
12,runnin',doman & gooding/dru & lincoln,2009,10,18
15,15 to 20,phenomenal handclap band,2009,10,18
18,the sequel,slypaul,2009,10,18
19,walhalla,gouryella,2009,10,18
20,you are my high,demon vs heartbreaker,2009,10,18
21,it's gonna be (a lovely day),brancaccio & aisher,2009,10,18
22,two men on a trip,lee coombs & meat katie,2009,10,18
23,mesopotamian,greenskeepers,2009,10,18
24,colossus/hooded,fresh bc,2009,10,18
25,i walk alone,those guys,2009,10,18
26,marching orders,white light circus,2009,10,18
27,jealousy,martin solveig,2009,10,18
28,unreleased mixes,basement jaxx,2009,10,18
29,frozensolid,sub focus,2009,10,18
30,your body,tom novy ft michael marshall,2009,10,18
32,facade/moonway renegade,noisia & mayhem,2009,10,18
33,pumped up funk/big buddha,drumattic twins,2009,10,18
35,electric disco,plump djs,2009,10,18
36,it's a big up thing/it's a jazz thing,roni size/dj die,2009,10,18
37,a bit patchy,switch,2009,10,18
38,north american scum,lcd soundsystem,2009,10,18
2,black & blue,miike snow,2009,10,25
3,i remember,deadmau5 & kaskade,2009,10,25
10,everyday,shy fx & t power ft top cat,2009,10,25
11,turn down the lights/soundboy burial,benny page/visionary,2009,10,25
13,audacity of huge,simian mobile disco,2009,10,25
16,let the music play,high contrast,2009,10,25
17,i'm every woman/ain't nobody,chaka khan,2009,10,25
18,louder than a bomb,tiga,2009,10,25
19,the other side,pendulum,2009,10,25
23,heartbreaker,mstrkrft ft john legend,2009,10,25
31,crispy bacon,laurent garnier,2009,10,25
33,distortion,pianoheadz,2009,10,25
34,beautiful people,barbara tucker,2009,10,25
37,tenshi,gouryella,2009,10,25
38,dirty waltzer,soul of man,2009,10,25
40,just kissed my baby/africa/people say,meters,2009,10,25
9,absolutely,jaf & dave wheeler,2009,11,1
10,serious damage/backstabber,dj remy,2009,11,1
17,in the head,gat decor,2009,11,1
18,meet her at the love parade,da hool,2009,11,1
19,don't give up,michelle weeks,2009,11,1
20,science fiction/winterlove,dj taucher,2009,11,1
21,digitalis/rock the disco,od404,2009,11,1
22,janeiro,solid sessions,2009,11,1
23,radiate/pumped up,dj remy,2009,11,1
24,muhammad ali,faithless,2009,11,1
25,resurection,ppk,2009,11,1
26,massive,ralphie b,2009,11,1
29,a paradox/cruize,ingo pts caroline banx/guffy,2009,11,1
30,lift me up,moby,2009,11,1
31,seizure,judge jules & bk,2009,11,1
34,discopolis,lifelike & kris menace,2009,11,1
37,hush boy,basement jaxx,2009,11,1
38,yeah yeah,bodyrox ft luciana,2009,11,1
39,towards the sun,future funk squad,2009,11,1
3,take me to the hospital,prodigy,2009,11,8
5,take me away,chase & status,2009,11,8
7,rock it/follow the light,sub focus,2009,11,8
9,poison,prodigy,2009,11,8
10,i'm gonna love you a little bit,barry white,2009,11,8
12,only this moment,royksopp,2009,11,8
14,dooms night,azzido da bass,2009,11,8
22,body rock,shimon & andy c,2009,11,8
26,twilights last gleaming/made it last,high contrast,2009,11,8
27,push up,freestylers,2009,11,8
28,enjoy the silence 04,depeche mode,2009,11,8
31,love & happiness/in da city,tommy boy,2009,11,8
32,bombs,faithless ft harry collier,2009,11,8
33,shine on,degrees of motion,2009,11,8
34,something good '08,utah saints,2009,11,8
35,kiss kiss bang bang,high contrast,2009,11,8
1,anyway,duck sauce,2009,11,15
4,show me love,steve angello & laidback luke,2009,11,15
7,timewarp/join the dots,sub focus,2009,11,15
8,pieces,chase & status ft plan b,2009,11,15
10,fire/jericho,prodigy,2009,11,15
13,firestarter,prodigy,2009,11,15
14,valley of the shadows,origin unknown,2009,11,15
15,windowlicker,aphex twin,2009,11,15
16,man with the red face,laurent garnier,2009,11,15
17,witness (1 hope),roots manuva,2009,11,15
18,lucky star,basement jaxx ft dizzee rascal,2009,11,15
19,rocking music,martin solveig,2009,11,15
20,voodoo people/out of space,prodigy,2009,11,15
21,feelings,shy fx & t power,2009,11,15
22,the loves we lost,tiesto pts allure,2009,11,15
23,tell me why,supermode,2009,11,15
24,proper education,eric prydz vs floyd,2009,11,15
25,get down,todd terry all stars,2009,11,15
26,crocodile,underworld,2009,11,15
27,watch out,alex gaudino ft shena,2009,11,15
30,pjanoo,eric prydz,2009,11,15
33,shoes,tiga,2009,11,15
39,this must be it,royksopp,2009,11,15
3,flashback,calvin harris,2009,11,22
5,i need you now,agnes,2009,11,22
8,good girls go bad,cobra starship,2009,11,22
16,use somebody,ultrabeat,2009,11,22
18,feel about you,j majik & wickaman,2009,11,22
23,orally fixated,roisin murphy,2009,11,22
35,im in miami bitch,lmfao,2009,11,22
4,one love,david guetta ft estelle,2009,11,29
7,get shaky,ian carey project,2009,11,29
25,j'adore hardcore,scooter,2009,11,29
29,poppiholla,chicane,2009,11,29
37,touch me,rui da silva ft cassandra,2009,11,29
39,fastlove,george michael,2009,11,29
1,i need you,n-dubz,2009,12,6
2,end credits,chase & status ft plan b,2009,12,6
7,i'm in miami bitch,lmfao,2009,12,6
9,i promised myself,basshunter,2009,12,6
27,moses,elizabeth fraser,2009,12,6
32,one more time,daft punk,2009,12,6
17,genesis,justice,2009,12,13
18,heartbeat,nneka,2009,12,13
25,together again,janet jackson,2009,12,13
5,invaders must die,prodigy,2009,12,20
20,jingle bells (bass),basshunter,2009,12,20
22,last christmas,cascada,2009,12,20
27,you and i,medina,2009,12,20
7,faster kill pussycat,oakenfold ft brittany murphy,2009,12,27
15,don't go,yazoo,2009,12,27
36,fever,cascada,2009,12,27
